node,x_body,y_body,theta_body,theta_ullA,theta_urlA,theta_lllA,theta_lrlA,theta_ullB,theta_urlB,theta_lllB,theta_lrlB,dx_body,dy_body,dtheta_body,dtheta_ullA,dtheta_urlA,dtheta_lllA,dtheta_lrlA,dtheta_ullB,dtheta_urlB,dtheta_lllB,dtheta_lrlB,ddx_body,ddy_body,ddtheta_body,ddtheta_ullA,ddtheta_urlA,ddtheta_lllA,ddtheta_lrlA,ddtheta_ullB,ddtheta_urlB,ddtheta_lllB,ddtheta_lrlB,Tau_leftA,Tau_rightA,Tau_leftB,Tau_rightB
0,0.0,0.4466226786496798,0.0,0.1530728064615612,1.1219971283212027,4.277187718634085,2.5709531009996716,2.164658028578287,2.8650945866362614,3.4331109407705256,2.1408861322740043,8.155222431258778,0.0,2.3046997151987436,-23.696655747613203,-15.10910707456234,18.028702332694657,1.9711490155507567,18.407736650205873,-7.336660571481563,-15.84729126932315,22.570512912850774,-0.25648515193014404,-15.971749969562051,16.893862938102913,53.365124063757,-156.8929657627393,-402.54908046036286,272.04220190356244,132.20408740416352,-214.88687869321384,-321.30395787121915,300.07953733228817,2.909503052259171e-06,1.5681365781249564e-06,-2.7870598435249577e-06,5.885934319603744e-07
1,0.029651411146092623,0.4465274014448097,0.006111890970245795,0.09473986910304676,1.0764986584711915,4.2941868788062125,2.5769696384734386,2.22597726366816,2.879911631292635,3.36450677829309,2.149222980602595,8.236516114254963,-0.026465932072089113,1.6977501750918402,-16.20361932111765,-12.638483822816116,4.721996399991772,1.6712630508728599,17.033147779817593,4.115852243138184,-19.056741919172538,2.3157948625857063,22.581614301127622,-7.351659417371943,-168.5973609484998,2081.4022970931305,686.285321295487,-3696.313045687956,-83.30178851652677,-381.83084527228436,3181.258587713367,-891.51547847577,-5626.319462123921,19.054184762002496,4.5832428896677175,-14.297103316144264,-2.0114116524184764
2,0.05942992046120255,0.44648309244267237,0.008385805994094357,0.052918936966848615,1.0314719353826698,4.30019913900635,2.595423065340686,2.2681715574882637,2.9035904155636656,3.3283118543717607,2.1462388103130268,8.271826831912444,-0.012308083957319284,0.631644489276542,-11.616951839972122,-12.507451338665202,1.6700760510767318,5.125963488836573,11.720663653154563,6.577454935959165,-10.05416824943495,-0.8289380643954789,9.80855484344279,3.9327444728225736,-296.1411373640094,1274.0771788851312,36.39799449939884,-847.7575678445885,959.6411786962016,-1475.6933692695816,683.780070671726,2500.7205582254637,-873.5388977782851,17.317165311580577,4.839333103381569,-12.491038548013435,-3.754090265358001
3,0.08929401503623094,0.4464989348292167,0.007362239975366503,0.02528315566836845,0.9876581533079444,4.297754476854729,2.624030058501601,2.296159655590178,2.932118783343492,3.31612604154251,2.137487325255526,8.295609967973549,0.004400677857590686,-0.28432485861928053,-7.676631958033874,-12.170536307423513,-0.679075123551916,7.946413946126248,7.774498068761264,7.924573488400091,-3.3849594910779444,-2.430976318239947,6.606449094999513,4.641338471388468,-254.43679310862186,1094.5370135863295,93.58782616050668,-652.544206607933,783.4611181291955,-1096.160825332375,374.2008673189588,1852.5642729709398,-445.01213570291105,15.61563788885937,4.812620661052772,-9.544759434175733,-5.549540419606648
4,0.11920097899755011,0.4465647544014346,0.0035586288982494252,0.009370773829306506,0.9459082685498429,4.289350779076344,2.6602326320749468,2.3167113448075596,2.9623826975404297,3.3161269076315665,2.1266035388432933,8.307536183626166,0.01828331617005615,-1.056564507599642,-4.4201306447106194,-11.597254697559501,-2.334373474368635,10.056326355625538,5.708834304574005,8.406689578199856,0.00024058163121806864,-3.023290814521539,3.312856102544936,3.856309863286926,-214.51220640893644,904.588728145368,159.24577712109112,-459.80765422703405,586.09003939242,-573.7986806813989,133.92188073320037,940.3385823187659,-164.53271941310717,13.889053336302819,4.847020681450741,-6.185234445082843,-7.36710680446186
5,0.14913518871661574,0.44667206719995767,-0.0019480498971698617,0.0020495977331610317,0.9064299808503261,4.277425215964693,2.701569572890625,2.3306491397053875,2.9922395329358666,3.3251515129403515,2.1148532329429024,8.31512424074367,0.029809347255705134,-1.529645137369917,-2.033676165134869,-10.96627805157073,-3.3126827080070296,11.482574680957992,3.8716404176063954,8.29363120250907,2.5068547013762976,-3.263999762995731,2.1078103704777247,3.2017007089651823,-131.4123288821497,662.909282683112,175.27268144522532,-271.75472143461326,396.1832343193095,-510.335685085435,-31.40535357867799,696.2872253817178,-66.86412740493576,12.170454376674142,4.891317076662578,-5.541220293392759,-8.351793509089001
6,0.17909054977332745,0.4468140767753258,-0.007892998648054447,3.5325743110774103e-07,0.8694112104033959,4.264302355341789,2.7452736934757223,2.336750726656683,3.0198706791235947,3.343013699115014,2.1026861943746686,8.321018065242843,0.0394475045665145,-1.651391410686065,-0.569240353016117,-10.283096139579575,-3.645276052728014,12.140156689337118,1.6949024634441554,7.675396272345542,4.961768731904211,-3.3797672321527474,1.6371900855456742,2.677293087773617,-33.818752433721016,406.79185355031655,189.7746790887651,-92.38797771668898,182.66352259090584,-604.6555675157018,-171.73366773031245,681.9274839641437,-32.157956647534604,10.4668922100277,4.996419393552482,-5.899297128141883,-9.026154242617078
7,0.20906164380760986,0.44698454463104065,-0.013018296913872837,1.295526178307136e-05,0.8353285494235297,4.252090874527865,2.7880718151868216,2.3340787861808217,3.043490727588932,3.369005361732201,2.0904043479121737,8.325407349883623,0.04735277054829595,-1.4237116537615184,0.0035006002628764745,-9.4675234711419,-3.392120154336548,11.888514868600975,-0.7422149104981415,6.5612061032204485,7.219995998187732,-3.4116664107101538,1.2192608840796004,2.1959345038331364,63.24516280757519,159.096686178825,226.55077857379894,70.32195670681533,-69.90137435418302,-676.9854605353935,-309.5011150607876,627.2931464870553,-8.860993039269847,8.78225013781764,5.184078250065081,-6.247973192862514,-9.707300319402805
8,0.239042530543784,0.4471827087369106,-0.01744520032958011,0.001742575438838966,0.8054729538338089,4.24134790251079,2.827934706567064,2.3238210827952477,3.063277979442636,3.401294400933443,2.077763096708158,8.32813296040571,0.055046304540197794,-1.2297114682869144,0.48045632980367703,-8.293329409209678,-2.98419790366536,11.073170134100938,-2.8493992994673296,5.496530700002587,8.96929480432072,-3.511504570874093,0.757123931189338,2.137120712398776,53.88964486585578,132.4894345786779,326.16928095363903,113.31321755065355,-226.48760916367482,-585.3366485739273,-295.74703362504374,485.9226871157442,-27.73318480151354,8.678530191797837,5.421097384178511,-6.057217898698313,-9.60723763836974
9,0.2590318420843512,0.44730062475066684,-0.02022877588295189,0.003293002111291348,0.7868747050048385,4.2348889306873625,2.853650459576265,2.3150762847480073,3.075499487095887,3.424150401686311,2.0689927726829187,8.328759860765024,0.04913096483195673,-1.1598064441228766,0.646001810036047,-7.749158744806546,-2.6911995020736983,10.714742777294594,-3.643613379007122,5.092221519177911,9.523196497376633,-3.654249050002231,0.26120472127102157,-2.4646893828635372,29.126673929797885,68.97629005842722,226.73451148573344,122.0809091645031,-149.34258122448904,-330.9177673828858,-168.45973258045433,230.78904836574256,-59.47600975128487,5.808545394583913,3.6177367342842843,-3.9521446802368363,-6.317796883792036
