node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB
0,0.294570299,1.210366467,1.498727838,2.789982357,0.30414578,-8.365017049,-1.147561094,-8.426170679
1,0.28075034,1.20233198,1.433198216,2.76461917,-1.111787517,-0.646358133,-5.271724638,-2.040416758
2,0.253746942,1.221969258,1.374086403,2.739143489,-2.172369226,1.579779655,-4.755426783,-2.049467413
3,0.218027355,1.257723362,1.320168256,2.713850128,-2.873569209,2.876345986,-4.33760686,-2.034800166
4,0.198066267,1.277737531,1.285713555,2.696753608,-2.408742684,2.415148038,-4.157714655,-2.063069797
5,0.183081829,1.293195958,1.252487315,2.679548701,-1.808200661,1.865397917,-4.009473822,-2.076149022
6,0.17321484,1.304067093,1.220358545,2.662256413,-1.19066844,1.311840628,-3.87703998,-2.086693316
7,0.16852848,1.310250415,1.189217669,2.644893132,-0.565511958,0.746153289,-3.757828852,-2.095260271
8,0.169022424,1.311569871,1.158972372,2.627471897,0.05960512,0.159221256,-3.649757642,-2.10225359
9,0.174642511,1.307767767,1.129544647,2.610003494,0.678186586,-0.458807119,-3.551099388,-2.10794529
10,0.185291931,1.298485887,1.100868438,2.592497193,1.285085635,-1.120061947,-3.460412197,-2.112518337
11,0.19716589,1.27230787,1.071932115,2.575828389,1.43285356,-3.158951932,-3.491801924,-2.011456834
12,0.21800733,1.225707387,1.031847392,2.549869142,1.676651577,-3.748914341,-3.224734703,-2.088368745
13,0.227940862,1.189029685,0.994149231,2.524643307,0.799132537,-2.950646905,-3.032740779,-2.02936743
14,0.223928891,1.169221061,0.958798138,2.500280526,-0.322754991,-1.593563673,-2.843923779,-1.959936351
15,0.20383864,1.170071231,0.92575117,2.476890571,-1.616219907,0.068394498,-2.658561615,-1.881674428
16,0.162276101,1.20030153,0.895270633,2.454792755,-3.343621916,2.431966158,-2.452097296,-1.777724477
17,0.095492679,1.258803192,0.867537184,2.434250064,-5.372590645,4.706339901,-2.231099682,-1.652617735
18,1.47E-08,1.339496347,0.842690962,2.415492543,-7.682190792,6.49160036,-1.998828062,-1.509004452
19,2.38E-08,1.409347136,0.823429125,2.38627781,7.30E-07,5.619353913,-1.549575578,-2.350265872
20,0.069882681,1.489157137,0.808104534,2.351466319,5.621917846,6.420552461,-1.232832222,-2.800513711
21,0.130563156,1.550441632,0.797620191,2.328902543,7.322430461,7.39531865,-1.265166008,-2.722814576
22,0.20194964,1.621300034,0.786262171,2.307770816,8.614345443,8.550620876,-1.370594264,-2.550006496
23,0.280777545,1.703150443,0.773436271,2.288784232,9.512316277,9.877047734,-1.547726239,-2.291147912
24,0.364067318,1.797300665,0.758471134,2.272597899,10.05073871,11.36129004,-1.805872138,-1.953236287
25,0.440903938,1.897153615,0.741727244,2.258563272,9.272022842,12.04944773,-2.020517464,-1.693585411
26,0.551613016,2.041969435,0.716532322,2.237063208,8.90632087,11.65013914,-2.026880422,-1.729636564
27,0.658284431,2.178674157,0.690956114,2.214789061,8.581499581,10.99761837,-2.057554168,-1.791910068
28,0.761838833,2.303660418,0.664799169,2.19152235,8.330743323,10.05489322,-2.10427358,-1.871760085
29,0.859582507,2.405530415,0.639690713,2.168710956,8.370380674,8.723742687,-2.150188615,-1.953477355
30,0.955084935,2.501206569,0.61211863,2.143078687,7.682979449,7.696955344,-2.218118987,-2.062064789
31,1.01349993,2.548159104,0.592360463,2.126688904,7.049050838,5.665853615,-2.384256456,-1.977787001
32,1.088291337,2.601970253,0.563438985,2.098647003,6.016817147,4.328997867,-2.326674206,-2.255914085
33,1.134731047,2.655972546,0.533040772,2.068315766,3.73598093,4.344375443,-2.445474924,-2.440086797
34,1.159928071,2.687044214,0.512372983,2.047199843,3.040572824,3.749477388,-2.49402144,-2.548098667
35,1.178411387,2.713394545,0.491249104,2.025132969,2.230416878,3.17974444,-2.549058549,-2.662851528
36,1.166787355,2.758248828,0.457630632,1.988800276,-0.935129883,3.608436174,-2.70453802,-2.922891584
37,1.208381841,2.79071439,0.429626997,1.944906535,3.346191851,2.61178845,-2.252835512,-3.531162199
