node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB
0,0.294570298,1.210366468,1.498727837,2.789982357,-6.534071268,-7.006571014,-2.043866182,-7.653553276
1,0.243321712,1.180535374,1.433603217,2.764788619,-4.122844479,-2.39985072,-5.239143174,-2.026784992
2,0.158319437,1.206555792,1.377041255,2.740494313,-6.838266077,2.093291509,-4.550298756,-1.954429148
3,5.35E-10,1.317599608,1.332882045,2.720058247,-12.73647772,8.933249865,-3.552518922,-1.64404009
4,0.010781239,1.377191664,1.297728445,2.680747911,0.867328745,4.794059811,-2.828035615,-3.16243662
5,0.130158973,1.392145886,1.266906939,2.633486781,9.603696484,1.203036793,-2.479527631,-3.80206207
6,0.213015744,1.406892737,1.245406062,2.604596921,9.998395515,1.77951477,-2.594528717,-3.486163376
7,0.282634499,1.439607606,1.221301159,2.580764458,8.401021354,3.947762532,-2.908782364,-2.875906589
8,0.306581296,1.585193605,1.182057088,2.558337522,1.926471409,11.71209959,-3.157106271,-1.804201643
9,0.330393005,1.701510602,1.144634245,2.536076941,1.915605975,9.357477609,-3.01059537,-1.790820726
10,0.351933526,1.767274089,1.120250141,2.521148975,2.599332397,7.935794986,-2.942472567,-1.80138383
11,0.381884094,1.84868518,1.085238265,2.499051817,2.409467311,6.549370457,-2.816640087,-1.777675099
12,0.407143678,1.919079697,1.051725845,2.477223272,2.032087737,5.663111227,-2.696013367,-1.756066891
13,0.425939689,1.98444367,1.019631141,2.455700705,1.512104142,5.258410086,-2.581959295,-1.731450501
14,0.441956677,2.023506866,0.998665811,2.441339224,1.932797815,4.713823776,-2.529922887,-1.733024899
15,0.461488344,2.05873647,0.978095764,2.426998171,2.356919368,4.251216112,-2.482222461,-1.730559184
16,0.484153842,2.091039575,0.95790374,2.412679273,2.735083461,3.898069447,-2.436605183,-1.727885256
17,0.510639848,2.12005704,0.938041431,2.398360234,3.196112044,3.501587645,-2.396819161,-1.727903138
18,0.546148532,2.168271297,0.909099551,2.377046723,2.85660796,3.878747814,-2.328320677,-1.714632581
19,0.581228223,2.220453784,0.880810397,2.355731661,2.822106163,4.197999343,-2.27581817,-1.714763343
20,0.616840896,2.278157523,0.853014205,2.334317645,2.864980531,4.642170103,-2.236157529,-1.72272209
21,0.653261299,2.343349941,0.825545976,2.312690585,2.929955292,5.244611671,-2.209769121,-1.739857719
22,0.682945179,2.384518748,0.807332803,2.298111645,3.582004917,4.967910909,-2.197814982,-1.759265824
23,0.718464281,2.422825082,0.789188578,2.28337871,4.286150701,4.622490637,-2.189494675,-1.777848339
24,0.759894785,2.457866612,0.771095927,2.268476204,4.999490249,4.228521876,-2.183271349,-1.798311183
25,0.824760612,2.516945734,0.743821096,2.245567968,5.21833472,4.752805048,-2.194209267,-1.842924753
26,0.87404277,2.552381303,0.725646127,2.230045648,5.946963967,4.276071944,-2.19320508,-1.873105452
27,0.952059794,2.609215927,0.698017924,2.205969034,6.276328808,4.572242915,-2.222639095,-1.936920179
28,1.034652022,2.668176719,0.669905871,2.180897373,6.644404011,4.743295305,-2.261566767,-2.016972436
29,1.122465151,2.726719435,0.641203484,2.154671768,7.064422321,4.709665547,-2.309060029,-2.109806864
30,1.187015418,2.758992148,0.621984397,2.13677134,7.789393843,3.894404797,-2.319200852,-2.160076039
31,1.285052155,2.805687218,0.592248627,2.108401442,7.88688449,3.756536948,-2.392190868,-2.282308847
32,1.380871025,2.85194302,0.561426277,2.078136754,7.708457937,3.72119714,-2.479603318,-2.43474038
33,1.447605107,2.876812363,0.540642937,2.057245585,8.052916849,3.001026483,-2.507961493,-2.520973459
34,1.526468073,2.903759081,0.514599454,2.030390554,7.81393702,2.669947301,-2.580452464,-2.660862667
35,1.591077291,2.921434583,0.492852097,2.007391239,7.796503273,2.132932588,-2.624290273,-2.775366038
36,1.664200739,2.958567035,0.458265328,1.969450969,5.882640705,2.987234344,-2.782438982,-3.052221726
37,1.707035716,2.982488892,0.434764867,1.94276613,5.168968234,2.886690402,-2.835839925,-3.220104109
38,1.742653276,3.005652965,0.410787639,1.914607093,4.298029303,2.795246648,-2.893371339,-3.397997137
39,1.769606205,3.028536352,0.386366869,1.884820832,3.252454965,2.761376522,-2.946895134,-3.594357894
40,1.786784935,3.051314456,0.361572079,1.853245575,2.072986546,2.748672416,-2.992029424,-3.810239871
41,1.793529538,3.073778863,0.336518604,1.81970554,0.813882797,2.710818669,-3.023245844,-4.047333566
