node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB,tLeftA,tRightA,tLeftB,tRightB
0,0.72448989,1.60183623,1.266370523,1.959700564,-2.240700606,-1.35377188,4.596294887,-13.24810815,1.72E-06,2.68E-06,1.71E-06,-0.021474474
1,0.714566,1.602654263,1.243261057,1.938684783,-1.197535094,0.098713662,-2.788663949,-2.536015039,2.356785324,3.304558127,2.355723169,-5.021262857
2,0.708267574,1.617251858,1.219770975,1.91912196,-0.760043217,1.761519986,-2.834593779,-2.360683664,2.033491096,3.418372581,2.280789641,-4.955010618
3,0.704958947,1.645383558,1.195688204,1.901154049,-0.399258383,3.394706767,-2.906114552,-2.16822268,1.761944131,3.438742257,2.2760077,-4.94429002
4,0.704412087,1.686074458,1.170824467,1.884875748,-0.065990656,4.910249685,-3.00035528,-1.964334118,1.525318183,3.390964843,2.286137595,-4.949755018
5,0.706744907,1.737896436,1.145024224,1.870322371,0.28150584,6.253458451,-3.113365268,-1.75618415,1.324471016,3.282055828,2.311782046,-4.971794205
6,0.71234085,1.799233963,1.118169864,1.857463859,0.675273331,7.401718118,-3.240567639,-1.551661493,1.157658442,3.122526136,2.3537241,-5.010814018
7,0.721753299,1.868471321,1.090181781,1.846205703,1.13581846,8.355006106,-3.377376132,-1.358543506,1.02046293,2.923611733,2.412740316,-5.067091735
8,0.735605551,1.944086876,1.061014638,1.836394967,1.67157805,9.124675394,-3.519655628,-1.183880504,0.906528242,2.695203282,2.489513615,-5.140733951
9,0.754497476,2.024673904,1.030652024,1.827828848,2.279725193,9.724592726,-3.663915434,-1.033690194,0.808550697,2.444848825,2.58463827,-5.231716073
10,0.778925743,2.108916934,0.999101306,1.820263705,2.947806222,10.16576959,-3.807286325,-0.912900487,0.719125643,2.177647535,2.698673723,-5.339951195
11,0.809220425,2.195548465,0.966389648,1.81342333,3.655718017,10.45399469,-3.947379108,-0.825441266,0.631320398,1.896655467,2.832213476,-5.465359453
12,0.845499008,2.283303528,0.932561525,1.807005887,4.377806857,10.5895733,-4.082105063,-0.774405244,0.539014678,1.603483702,2.985950851,-5.607931194
13,0.887638668,2.370883324,0.897677645,1.800689343,5.08507433,10.56842359,-4.209505338,-0.762229692,0.437092913,1.298897217,3.16073527,-5.767789354
14,0.935267829,2.456934804,0.861815052,1.794135394,5.747503,10.38399861,-4.327608498,-0.790877668,0.321550199,0.983319709,3.357619242,-5.945260088
15,0.987917319,2.539876155,0.825087706,1.786976014,6.353315833,10.00869338,-4.431959903,-0.863936238,0.224299274,0.619441401,3.577988237,-6.140599162
16,1.044895276,2.618076172,0.787628529,1.778834169,6.875640369,9.436547362,-4.520271457,-0.982492195,0.107070762,0.243886471,3.823544346,-6.355405105
17,1.10533842,2.689887315,0.749591852,1.769323105,7.293791111,8.665589454,-4.589959363,-1.147718499,-0.030570106,-0.142300648,4.096150083,-6.591381072
18,1.168275974,2.753691852,0.711156693,1.7580434,7.594796258,7.699416854,-4.638044824,-1.36114382,-0.187818936,-0.537736981,4.398014267,-6.851056817
19,1.232699715,2.807950253,0.672531029,1.744577366,7.774137192,6.547466,-4.661033491,-1.624972227,-0.362784098,-0.941005986,4.731739059,-7.138104501
20,1.297634755,2.851239621,0.633957315,1.728480095,7.835836497,5.223811499,-4.654764476,-1.942488782,-0.552644383,-1.351091793,5.10037695,-7.457806159
