node,x_body,y_body,theta_body,theta_ullA,theta_urlA,theta_lllA,theta_lrlA,theta_ullB,theta_urlB,theta_lllB,theta_lrlB,dx_body,dy_body,dtheta_body,dtheta_ullA,dtheta_urlA,dtheta_lllA,dtheta_lrlA,dtheta_ullB,dtheta_urlB,dtheta_lllB,dtheta_lrlB,ddx_body,ddy_body,ddtheta_body,ddtheta_ullA,ddtheta_urlA,ddtheta_lllA,ddtheta_lrlA,ddtheta_ullB,ddtheta_urlB,ddtheta_lllB,ddtheta_lrlB,Tau_leftA,Tau_rightA,Tau_leftB,Tau_rightB
0,0.0,0.419490490739441,0.0,0.17155368237581825,1.121997185274532,4.264925571812833,2.585518862190235,2.215113861919473,3.0854113602111606,3.5600082103831423,2.0294085891826628,8.143823032910298,0.0,1.7531735650869456,-24.54434187804018,-4.350232963101296,27.27042824010259,-6.072495204237239,21.31573895381297,-21.06824232142635,-24.941077337419618,39.754463295200566,2.6071663632229805,-14.831629873183852,30.831644931653283,67.43869569078295,-99.69733001853818,-489.2138586227293,94.98483313029384,158.72657660520022,-400.7660681254978,-456.9237774389862,730.5311927595465,3.173679293337807e-06,3.0196432019851836e-07,-3.2282055674339323e-06,2.5459859957491786e-06
1,0.037276672387305754,0.4192098400293338,0.006389510084131503,0.10400225058589152,1.1152250851045211,4.3064642250676455,2.540163017503042,2.309630099907869,3.063438540400794,3.420313420323693,2.0737134379838746,8.283718057605423,-0.06236692296558249,1.419893372274204,-15.011452994551004,-1.5049135256326198,9.230826412839047,-10.079092515274958,21.003641613354816,-4.882856558345297,-31.04333570726475,9.845537505087474,31.087832363245234,-13.85933810291543,-74.06238203776189,2118.4230975562386,632.2942069217931,-4008.8067372506066,-890.3563641667472,-69.35507408017065,3596.7580722307853,-1356.059557174265,-6646.43845021725,14.614873788907282,0.3471807504565418,-14.061379072300237,2.9470822570259796
2,0.07485449848561274,0.4189402559120926,0.009211695072566964,0.055585729285604575,1.1031142623188201,4.332463679340034,2.5159975346145735,2.365469421237957,3.061302750134702,3.3427747550206632,2.0890066768963442,8.350645545492034,-0.059907707324081676,0.6271535357202304,-10.759249533667868,-2.6912996000110416,5.777668629285873,-5.370118577624227,12.408764112871507,-0.47462105511347835,-17.23085067034556,3.3985046677916326,14.872806296170669,0.5464935115825865,-176.16477780101758,944.9360853460702,-263.64190310860766,-767.370006654234,1046.4408487443832,-1909.9767859294645,979.6099452969993,3069.447560483583,-1432.6769702846377,13.028940658690905,1.5828504091912248,-14.326791986625878,1.1103737668428175
3,0.11261969931101007,0.4187267493613622,0.008707813265180366,0.023989910161199918,1.0892535403213257,4.346297350286484,2.5068767592602357,2.3904709681732523,3.06985726073212,3.316126680238991,2.0902024612202963,8.392293000162805,-0.047446048002374945,-0.11197408388190189,-7.021315016914427,-3.0801700415835587,3.0741586781758454,-2.0268452832054837,5.555916630985152,1.9010082784534128,-5.921812848076928,0.2657306777740969,9.255018765134006,2.7692662559771555,-164.2510939341394,830.654703123423,-86.4159229516005,-600.781861149615,742.9519359926901,-1522.859741149361,527.9192746584608,2513.127346871536,-696.1741670346241,11.441032736242526,2.3189894618697577,-10.889985892492666,-1.1016878173961278
4,0.1504733382712457,0.41854762635668324,0.004953811181913394,0.006585050900730028,1.0769656866879123,4.351527361447854,2.5070165120459715,2.3996536331392733,3.0831123263188576,3.316126331237306,2.085958022899007,8.411967557626697,-0.03980533828634388,-0.8342274244459658,-3.8677684752562564,-2.730649653675868,1.1622313052038864,0.031056351040117388,2.0406038074138144,2.9455868643693224,-7.755637056296748e-05,-0.9432138742734518,4.3721487191963,1.6979451385377926,-160.50165416314834,700.7921015932175,77.6716385681481,-424.8751632801662,457.3140722942326,-781.1850654003055,232.12989338612107,1315.94865188562,-268.65587114296886,9.80182897644909,3.048158183734387,-6.3209287622632,-3.3766418320020084
5,0.18835222708829635,0.4183733040528324,-0.001393339784304002,1.5818633902155854e-06,1.0685639811295902,4.351634089627834,2.5112555184185217,2.4026661500454285,3.097324464513044,3.325748672636765,2.0801003438588803,8.417612376635036,-0.038738664946137355,-1.4104916537454728,-1.4630072892993606,-1.8670637629881939,0.023717603044818774,0.9420105399225036,0.6694546853408013,3.1582835214527254,2.1383187993580264,-1.3017190611021558,1.2544163736677403,0.23704081589393763,-128.05995794100696,534.3965505305564,191.90983444233933,-253.00549539744804,202.43622488292857,-304.70275608979034,47.266381592699446,475.2037927266155,-79.66859092177899,8.192740160033358,3.767918233616275,-3.4979395417669137,-5.094583543300703
6,0.22624100247975695,0.4181885568314245,-0.008807746518690856,9.924432475509607e-07,1.065027966769122,4.3498940631563885,2.5152111959719075,2.3985658367309934,3.1100662708520685,3.343794780882389,2.0733721948847657,8.41982122147547,-0.041055393301704685,-1.6476642098311582,-0.00013098370624417752,-0.7857896816169396,-0.38667683657860874,0.8790492029683765,-0.9111908395794374,2.83154391517839,4.010290741827352,-1.4951607944095555,0.49085985150711764,-0.5148342318024816,-52.705596848926184,325.087227944628,240.28579341767224,-91.1997755592719,-13.99156334670838,-351.25845575239157,-72.60960647002685,415.998377470977,-42.987528480208745,6.6356614994886325,4.4547506570842845,-3.683801907556493,-5.886483595133747
7,0.26412284810570813,0.4179813679163979,-0.016557847528904476,0.00402525311847179,1.0677969611089608,4.348661360059483,2.5152642069060236,2.387793355287595,3.1200098585528777,3.3681184205619115,2.0661998937729495,8.418286792171825,-0.04604252190012285,-1.7222648974522021,0.8942906537607754,0.6153393028637005,-0.2739372390092083,0.011780345945066873,-2.3939128824216853,2.2097121094644114,5.40531674917646,-1.5938634119166435,-0.34098829470848563,-1.1082638165381486,-16.57812529748938,198.76269840884365,311.3656536338924,25.053538165603047,-192.72867632773801,-329.49765734671786,-138.18646875558358,310.0094205641893,-21.934172624986616,5.672679473695303,5.1870555699394165,-3.665617100783261,-6.41677387565712
8,0.30197931661816807,0.41774662844241356,-0.025160565169505912,0.012171461156042639,1.0789523698183587,4.348888727331916,2.5091599165739837,2.3725765405840185,3.1275086508183683,3.3957831001593033,2.0586945848817813,8.412640800303764,-0.05216489952383426,-1.9117359928329447,1.8102883020394491,2.479006894735977,0.05052661454951535,-1.35652383653574,-3.38155145622836,1.6664165529571926,6.147773985620178,-1.6678647078753683,-1.2546786167280513,-1.3605432787569398,-42.10514953220355,203.55726489266058,414.1528948065578,72.10386916501459,-304.07093014964204,-219.4776451275474,-120.73366969747948,164.99230607660647,-16.444912748605176,5.64673713643756,5.964748154412838,-3.3532977652023592,-6.5272134557095915
9,0.31459728438523116,0.41765177549959653,-0.02808011114794195,0.015033602800096756,1.083071401586328,4.3490669661374755,2.506794561039826,2.3674652065620982,3.129978401956803,3.4049317836267394,2.056093744237364,8.41170560693073,-0.0632332437088548,-1.9463008409807327,1.9080325262808702,2.7459320912356033,0.11882201538093026,-1.5768525309597499,-3.4074454654509427,1.6464473425842767,6.098924441695362,-1.7338375113374804,-0.6234420221021594,-7.3786567345342595,-23.04248452166811,65.16070212533351,177.94435787733832,45.52879011157194,-146.881030960626,-17.262112773189916,-13.312375016387698,-32.565306086847684,-43.980442099064994,1.850513552874938,2.3059744528753123,-0.9585802067424214,-2.2155752213546074
