node,x_body,y_body,theta_body,theta_ullA,theta_urlA,theta_lllA,theta_lrlA,theta_ullB,theta_urlB,theta_lllB,theta_lrlB,dx_body,dy_body,dtheta_body,dtheta_ullA,dtheta_urlA,dtheta_lllA,dtheta_lrlA,dtheta_ullB,dtheta_urlB,dtheta_lllB,dtheta_lrlB,ddx_body,ddy_body,ddtheta_body,ddtheta_ullA,ddtheta_urlA,ddtheta_lllA,ddtheta_lrlA,ddtheta_ullB,ddtheta_urlB,ddtheta_lllB,ddtheta_lrlB,Tau_leftA,Tau_rightA,Tau_leftB,Tau_rightB,GRF_yA,GRF_yB
0,0.0,0.4551167252054419,0.0,0.16387813614246613,1.1219971588851874,4.2700183920229815,2.5794632102481203,2.2333018723673086,2.957190794451434,3.424807118176326,2.108800943013276,8.108322799483794,0.0,1.1865047907476014,-22.524637985486336,-12.620296683929094,18.491074661656114,0.5442939017769525,17.51495725631709,-4.653545936115566,-13.834140523601912,19.063662786370134,-0.4863985770024377,-14.034490605185358,13.765683614114591,67.64371397433703,-139.22415298749223,-411.0168018105306,241.93270243193632,109.9717771336486,-172.73769648163474,-264.75429699030707,233.45940184278348,2.8964367368405427e-06,1.3833797640203727e-06,-2.441813422061177e-06,3.9903338766354824e-07,0.0,0.0
1,0.036764963210068564,0.4550931239708033,0.002778742893223192,0.09777621401569488,1.082906866281311,4.295205350731556,2.5720315632690953,2.303280323294732,2.97871974122584,3.3503254526700785,2.1156376961511363,8.170009040173285,-0.005244729860160731,0.6174997219018955,-14.689346981330612,-8.686749994332217,5.597113729388236,-1.6514805864237534,15.550799641159369,4.784220475545929,-16.551516100702983,1.519281676486322,13.70808237200732,-1.16549798039904,-126.44583729926626,1741.1794476870168,874.1233285159115,-2865.330689394514,-487.9509144692594,-436.48038977961113,2097.2858441811672,-603.8625118053112,-3898.7595731563592,18.270669773105826,7.6816462638408325,-12.353756042706223,-7.870470042593674,0.0,-7.281440357429541e-09
2,0.07361909696116868,0.45518122296014857,0.001189931244975561,0.05170116541090488,1.051964907191248,4.310442342077507,2.570855539182386,2.3468358198090713,3.0067029940211034,3.3163306070311527,2.1111375403984205,8.18983032064,0.019577607739493078,-0.3530702389719316,-10.23892822001838,-6.876010068429222,3.3860075117535047,-0.26133941413953377,9.679026195345559,6.2185179486396445,-7.55443119188337,-1.0000373982495734,4.4047412661101735,5.5160903923495095,-215.6828145127566,988.9847026957194,402.38777142634956,-491.3583063880859,308.9211212949345,-1304.8421793666303,318.73365992789337,1999.3577730320126,-559.85024325861,16.628839909756504,8.640495121623475,-11.5015044484186,-8.948857106213447,0.0,-7.289281743076722e-09
3,0.11052477034724012,0.455394221911186,-0.0040280285497201794,0.02228494321594931,1.031231807640311,4.319455041171183,2.571122336476241,2.3676798569768653,3.0368381784665046,3.316126537970905,2.101010577450473,8.201290890558669,0.04733327417082269,-1.1595508821603138,-6.536962287570382,-4.607372386932753,2.0028293808130573,0.05928850539660316,4.632025281273208,6.696732263680964,-0.04534884670305309,-2.2504444805869106,2.54680267424848,6.167948539602024,-179.21857930084622,822.6621192177679,504.1435596256352,-307.374047524713,71.25091061860749,-1121.559880190252,106.27023830876146,1668.69109770057,-277.8692616331875,15.128540336978507,9.11235628437505,-9.96093018805164,-10.015905581748225,0.0,-7.294895293433425e-09
4,0.14744591976815336,0.4557208198941542,-0.0121680801067955,0.006283344848444278,1.0226141507709412,4.325518426864927,2.56818681267676,2.3726750071669884,3.0659406477977056,3.337227715626866,2.088373750076128,8.204745141407326,0.07257772999977466,-1.8089103267702902,-3.5559303683587995,-1.915045426219273,1.3474264775474993,-0.6523422214378932,1.1100395002816423,6.467251090316178,4.689176462980228,-2.8081993553464297,0.7676155350587778,5.609910026060677,-144.30289500068554,662.4551927323611,598.2981812988066,-145.64589322309706,-158.1410340698726,-782.667825296038,-50.996097676815225,1052.122540624118,-123.94621160378341,13.650862582001192,9.61552077522417,-8.026235453026473,-11.166362015875729,0.0,-7.298518395300433e-09
5,0.18437430618506437,0.4561461797983749,-0.02192574570334622,1.4312007728427495e-06,1.0268771341355034,4.33148680862989,2.5583004373754044,2.3627067605607244,3.0919623142959107,3.3756886109857813,2.073551865004399,8.206362831665558,0.09452505367197805,-2.168384596373429,-1.395990122286413,0.9473359555978631,1.3263159058244538,-2.196986943783396,-2.215180688454396,5.782631127123334,8.546922645974163,-3.293774208670929,0.35948912195706,4.877215570827784,-79.88370387232548,479.9899230330272,636.0889944283824,-4.691269452918146,-343.2566723733071,-738.9427486994423,-152.13878441190639,857.2826478988424,-107.90624272954484,12.20967978615002,10.092339629519667,-8.046935376931604,-11.697567862328773,0.0,-7.300175187906285e-09
6,0.22129956350249247,0.45664936087763897,-0.03199942101471512,1.1157519647284826e-06,1.0443607693116703,4.339836285916096,2.538459922224553,2.33943359405402,3.1127567331486263,3.426174040897246,2.056832041265948,8.205678784801684,0.11181891764589624,-2.238612532253513,-7.01002993741529e-05,3.8852835340587024,1.8554543315060894,-4.409038855256305,-5.171856407594645,4.621019161902335,11.219074727221187,-3.7155462927938014,-0.15201163773771337,3.8431118163406435,-15.606333588896307,310.20694618944816,652.8824947160786,117.5872632792687,-491.57104809899636,-657.044337254662,-258.1380700273927,593.8163532445659,-93.72788422181556,10.787312826607435,10.540831298035242,-8.021769036888925,-12.254146964521706,0.0,-7.299793190716963e-09
7,0.2582078641740138,0.45721162594717824,-0.04194639492972631,0.004866920640964399,1.0753987404461918,4.351864873381788,2.5074239409370005,2.3057355733147475,3.1270497215757476,3.4828462778513405,2.0387508048424587,8.2019225015487,0.12494898008804062,-2.2104596443476794,1.0813002463163,6.897392435276199,2.673044827361486,-6.896950242860571,-7.488520184630346,3.1762498208223846,12.593950060820491,-4.018090705326556,-0.8347375407241006,2.9178193693989036,6.256256738923963,240.30680408047706,669.3638917132132,181.68850266744963,-552.8744488525264,-514.8190628037578,-321.06290326432645,305.5307540662124,-67.23273029974354,10.016066506883615,10.968956052781934,-7.781812127615715,-12.541049873714893,0.0,-7.2972571723309185e-09
8,0.29508298917468245,0.4578205250483866,-0.05242093097267129,0.015738739581910105,1.1204988687629331,4.367416722903854,2.4659030118108896,2.265457350896929,3.134742648106217,3.5403086889343096,2.020224145888698,8.194554613763929,0.13531227186439912,-2.3276980798355225,2.4159840559433268,10.022351505861888,3.4560013085050985,-9.226965910812941,-8.950806087902386,1.7095564175703382,12.769553075397173,-4.117076717825956,-1.637324858947212,2.3029768831482045,-26.053247613938908,296.59938427047615,694.4423312253736,173.99207853032132,-517.7864655812042,-324.95569018633984,-325.9351444741742,39.02328448416364,-21.997112834474294,10.082371374813457,11.365400440149605,-7.28694994384281,-12.478513306614818,0.0,-7.296446082497932e-09
9,0.3073739374913767,0.45800711363288293,-0.055939325908697435,0.019502461221983437,1.136066986937723,4.372904329536502,2.451727875315313,2.2519680263466673,3.1372307630735445,3.559106888358689,2.013689182948871,8.193918052896446,0.12439166869591789,-2.3455830291277318,2.509133217229934,10.378685295484562,3.6583832179479607,-9.450036225082647,-8.992830911479773,1.6587336976087563,12.532060314350002,-4.35661670913767,-0.42437145201786936,-7.280359915694729,-11.923230421652555,62.09908093436479,237.55448289375838,134.92049096904285,-148.71268091471572,-28.01638666992254,-33.88161693145178,-158.32758970546507,-159.69240197143822,3.2068654045880307,4.272348356849028,-2.5827564695153553,-4.069629084046329,0.0,-7.2953988045831454e-09
